D,Time,Project,Task,Day,Hours
,,,,,
14,9-9:30,GE11,Cluster DAQ,MON,0.5
14,9:30-10,APOLLO,C2C wrapper generation,MON,0.5
14,10-11,ETL,Specifications,MON,1.0
14,11:30-1,ETL,Meeting,MON,1.5
14,1-2,L0MDT,BU Meeting,MON,1.0
14,2-3,L0MDT,Felix meeting,MON,1.0
14,3-4,APOLLO,IPMC,MON,1.0
14,4-5,ETL,Mechanical meeting with Daniel,MON,1.0
,,,,,
15,9-10,GE21,Hog fixes,TUE,1.0
15,10-11,GE11,Hog fixes,TUE,1.0
15,11-12,ME0BE,Firmware meeting,TUE,1.0
15,12-2,--,Indara lunch,TUE,2.0
15,2-4,ETL,Lab work with Daniel,TUE,2.0
15,4-5,L0MDT,Hog fixes,TUE,1.0
,,,,,
16,9-11,APOLLO,IPMC Updates,WED,2.0
16,12:30-1,Tracker,Meeting,WED,0.5
16,2-2:30,ETL,BU Meeting,WED,0.5
16,2:30-4,--,Break,WED,1.5
16,4-5,GE21,Firmware,WED,1.0
16,4-5,GE11,Firmware,WED,1.0
,,,,,
17,9-9:30,GE21,Firmware,THU,0.5
17,9:30-11,APOLLO,EDF Meeting,THU,1.5
17,11-12,L0MDT,EE Meeting,THU,1.0
17,12-12:30,GE11,Firmware (timing),THU,0.5
17,12:30-2,ETL,Reverse engineering documentation,THU,1.5
17,2-2:30,ETL,Firmware update,THU,0.5
17,2:30-3,GE11,Firmware (timing),THU,0.5
17,4-4:30,ETL,Programming script,THU,0.5
17,4:30-5,ETL,Mechanical meeting,THU,1.0
,,,,,
18,10-12,APOLLO,IPMC,FRI,2.0
18,12-3,CSC,ODMB Review,FRI,3.0
18,3-5,GE11,Firmware placement,FRI,2.0
18,5-7,GE21,Firmware placement,FRI,2.0
,,,,,
,,,,,
21,9-5,VAC,Vacation,MON,8.0
,,,,,
22,10-11,APOLLO,Rev2a debug,TUE,1.0
22,11-12,--,LUNCH,TUE,1.0
22,12-4,APOLLO,Rev2a debug,TUE,4.0
24,4-5,ETL,Dataformats,THU,1.0
24,5-6,ETL,Schedule,THU,1.0
,,,,,
23,11:30-12:30,GE21,ISERDES placement,WED,1.0
23,12:30-1,Tracker,Meeting,WED,0.5
23,1-2,APOLLO,"IPMC dongle, shipping",WED,1.0
23,2-3,ETL,Firmware update,WED,1.0
23,3-4,GE21,ISERDES placement,WED,1.0
23,4-6,ETL,Meeting; test stand debug,WED,2.0
,,,,,
24,9-11:30,GE11,MGT loopback,THU,2.5
24,11:30-12:30,GE21,DDR s-bits,THU,1.0
24,12:30-3:30,APOLLO,IPMC firmware update / test,THU,5.0
24,3:30-5:30,ETL,Emulator version control,THU,2.0
,,,,,
25,9-11,APOLLO,IPMC Firmware update,FRI,2.0
25,11-1,ETL,ETROC firmware,FRI,2.0
25,1-2,--,LUNCH,FRI,1.0
25,2-4,ETL,ETROC firmware,FRI,2.0
25,4-5,APOLLO,IPMC firmware test,FRI,1.0
,,,,,
,,,,,
28,9-12,ETL,"Meeting, slides",MON,3.0
,,,,,
,,,,,

