D,Time,Project,Task,Day,Hours
24,12-3,L0MDT,CSM review,FRI,3.0
24,3-6,--,BBQ,FRI,3.0
,,,,,
,,,,,
27,9-11,ETL,HPTD Meeting,MON,2.0
27,11-11:30,L0MDT,Monthly summary,MON,0.5
27,11:30-12:30,ADMIN,Chat w/ Eric,MON,1.0
27,12:30-1,L0MDT,CSM chat w/ Eric,MON,0.5
27,1-2,L0MDT,Meeting,MON,1.0
27,3:30-4,ETL,DDMTD w/ Daniel,MON,0.5
27,4-4:30,ETL,Maria,MON,0.5
,,,,,
28,9-10,L0MDT,CSM review,TUE,1.0
28,10-10:30,ETL,Hog meeting,TUE,0.5
28,10:30-11,L0MDT,Hog meeting,TUE,0.5
28,11-12,ME0BE,FW meeting,TUE,1.0
28,12-3,--,Back pain,TUE,3.0
28,3-4,ETL,Meet w/ Daniel,TUE,1.0
,,,,,
,,,,,
29,9-5,VAC,Day off,WED,8.0
,,,,,
30,9-9:30,GE11,Trigger primitives,THU,0.5
30,10-11,L0MDT,Meeting,THU,1.0
30,11-12,ETL,BV connector,THU,1.0
30,12-1,--,Lunch,THU,1.0
30,1-1:30,GE21,Firmware Repository,THU,0.5
30,2-3:30,ETL,Workshop prep,THU,1.5
30,4-5,ME0OH,Meeting,THU,1.0
30,5-5:30,ETL,BV connector,THU,0.5
,,,,,

